id,emoji,name,description,keywords
877,🛷,Sled,"A sled, otherwise known as a toboggan or sledge.",toboggan or sledge sled
878,🥌,Curling Stone,Curling Stone was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.,Curling Stone part of Unicode added to Emoji was approved as
879,🎯,Direct Hit,A dart board with dart hitting the center / bullseye region.,bullseye region hitting the center dart board
880,🎱,Pool 8 Ball,"The game of billiards, of which pool is a common version. This emoji displays the black 8 ball on most platforms, which looks similar to the Magic 8-Ball toy.",game of billiards common version displays the black pool
881,🎮,Video Game,"A video game emoji, shown on major platforms as a console gamepad with D-pad, joysticks, and buttons.",video game emoji gamepad with D-pad shown on major platforms console
882,🎰,Slot Machine,A gambling machine generally found in casinos. Shows three wheels with a lever to the side. Most platforms display three 7 digits on this emoji.,gambling machine generally found in casinos
883,🎲,Game Die,"A six-sided die, used in a range of board and turn-based games. Commonly called dice which refers to the plural of die.",turn-based games range of board and six-sided die Commonly called dice
884,🧩,Puzzle Piece,Puzzle Piece was approved as part of Unicode 11.0 in 2018 under the name “Jigsaw Puzzle Piece” and added to Emoji 11.0 in 2018.,Jigsaw Puzzle Piece part of Unicode added to Emoji approved as was
885,♟️, Chess Pawn,Chess Pawn was approved as part of Unicode 1.1 in 1993 under the name “Black Chess Pawn” and added to Emoji 11.0 in 2018.,Black Chess Pawn part of Unicode added to Emoji approved as was
886,🎭,Performing Arts,"Two masks often used on maps to indicate a theatre, these originate in Greek Theatre as masks of tragedy and comedy.",Greek Theatre originate in tragedy and comedy theatre masks of
887,🎨,Artist Palette,"A palette used by an artist when painting, to store and mix paint colors.",mix paint colors artist when painting store and
888,🧵,Thread,"A spool of thread, as used for sewing. Thread color varies across platforms, though often depicted in red or blue and on a wooden spool. Sometimes shown with an end unraveling.",sewing spool thread varies across platforms Thread color wooden
889,🧶,Yarn,"A ball of yarn, as used to knit a scarf. Color varies across platforms, but often depicted in green, blue, or magenta and shown with an end unraveling. Sometimes depicted with a pair of knitting needles stuck in the ball.",knit a scarf ball of yarn Color varies across platforms
890,🎼,Musical Score,A staff (or stave) showing a treble clef and five horizontal lines.,showing a treble horizontal lines clef staff stave
891,🎤,Microphone,"A microphone, used to amplify a person’s voice when speaking or singing. Shown with music notes on most platforms, implying it to be used for a singer / singing.",amplify a person ’s voice when speaking or singing microphone Shown with music
892,🎧,Headphone,"Headphones, used to listen to music or other forms audio, such as podcasts. Most platforms display this emoji with large over-ear headphones in shades of black, blue, and gray.",forms audio listen to music podcasts blue Headphones large over-ear headphones
893,🎷,Saxophone,Saxophone was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,part of Unicode added to Emoji Saxophone was approved as
894,🪗,Accordion,Accordion was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.,part of Unicode added to Emoji Accordion was approved as
895,🎸,Guitar,"A guitar, which most platforms display as a red electric guitar.",red electric guitar platforms display
896,🎹,Musical Keyboard,"A small section of a music keyboard, which differs from a computer keyboard.",music keyboard computer small section
897,🎺,Trumpet,"A trumpet, a brass instrument played in jazz bands.",brass instrument played jazz bands in trumpet
898,🎻,Violin,A violin emoji. Sometimes used in the context of the world’s smallest violin.,violin emoji smallest world ’s context
899,🥁,Drum,"A drum shown with drumsticks. A percussion instrument which is likely to be displayed as a snare drum.music, instrument,",shown with drumsticks drum snare drum.music instrument
900,🪘,Long Drum,Long Drum was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.,Long Drum part of Unicode added to Emoji was approved as
901,🎬,Clapper Board,"A board which contains the scene name, number, and film. A person ‘claps’ the board shut at the top while saying “Action” or “Cut” to indicate the start and stop of a scene that is being filmed.",number film board shut Action Cut scene
902,🏹,Bow and Arrow,A bow and arrow used in the sport of archery. May also be used by cupid.,sport of archery bow and arrow cupid
903,🚣,Person Rowing Boat,A small rowboat suitable for a small number of people. Couples or families sometimes hire these as an activity on calm waters.,small rowboat suitable number of people
904,🗾,Map of Japan,"Shows a map of the country of Japan, which is the only country to have its own emoji map. Other countries can be found on the various globe emojis, or the world map emoji.",country of Japan world map emoji Shows a
905,🏔️, Snow-Capped Mountain,A mountain with snow resting at higher altitudes. Similar in appearance to the Mount Fuji emoji.,higher altitudes Mount Fuji emoji mountain with snow resting at
906,⛰️, Mountain,A mountain shown with two peaks and blue sky. Similar to the snow capped mountain emoji.,blue sky peaks and mountain shown capped emoji
907,🌋,Volcano,"A volcano, erupting with smoke and lava.",erupting with smoke and lava volcano
908,🗻,Mount Fuji,Mount Fuji (called Fuji-san in Japan) is the largest mountain in Japan. Often seen with snow on the peak in colder months of the year.,Fuji-san in Japan Mount Fuji mountain called largest
909,🏕️, Camping,"A campsite featuring a tent and a tree, and perhaps a campfire. Similar to the tent emoji.",campsite featuring tent emoji a tree campfire
910,🏖️, Beach with Umbrella,"A beach showing sand, and an umbrella for protection from the sun.",beach showing sand umbrella for protection sun
911,🏜️, Desert,Desert was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,part of Unicode added to Emoji Desert was approved as
912,🏝️, Desert Island,Desert Island was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,Desert Island part of Unicode added to Emoji was approved as
913,🏞️, National Park,"A national park, generally displayed with mountains, a river or stream, and trees.",national park generally displayed with mountains river or stream
914,🏟️, Stadium,"A large capacity stadium, featuring a large amount of seating for sporting fans, or people attending other shows hosted by the stadium.",large capacity stadium sporting fans featuring a amount of seating for people attending
915,🏛️, Classical Building,"A building shown with columns in a classical style, sometimes used to represent a courthouse, town hall, post office or stock exchange.",town hall classical style represent a courthouse post office stock exchange building shown with columns
916,🏗️, Building Construction,A construction site generally depicted as a tower crane shown lifting steel or other building materials.,construction site generally depicted tower crane shown lifting steel building materials
917,🛖,Hut,"A round hut with a thatched roof. Used to talk about huts, cottages, yurts, or homes in general.",thatched roof round hut cottages yurts
918,🏘️, Houses,Multiple houses.,Multiple houses
919,🏚️, Derelict House,"A house which is unoccupied, and has become derelict. In a state of disrepair.",unoccupied derelict state of disrepair house
920,🏠,House,"A house, otherwise known as a home when someone is living in it. Suitable for a couple or larger family, other perhaps housemates.",house larger family home living couple or Suitable
921,🏡,House with Garden,"A suburban-looking house, with a tree, flower, or shrubs around it in the garden.",suburban-looking house flower tree garden shrubs
922,🏢,Office Building,"A generic, high-rise office building. Generally found in cities, and most active during business hours.",high-rise office building generic
923,🏣,Japanese Post Office,"A Japanese post office, featuring the テ Japanese postal mark on the front of the building (or showing this mark instead of the building in Microsoft’s artwork).",Japanese post office postal mark Microsoft ’s artwork
924,🏤,Post Office,"A European-style post office. A postal horn can be seen on the front, which is commonly found in the logos of European Postal Services.",European-style post office European Postal Services
925,🏥,Hospital,"A place where people are taken to receive medical care. This hospital has a large red cross on the front, often used as a symbol for health care.",receive medical care place where people health large red cross
926,🏦,Bank,"A retail bank branch, where people can perform money-related tasks. Also a common location to find an ATM.",retail bank branch perform money-related tasks people can
927,🏨,Hotel,"A hotel building, displayed on most platforms as a building with many windows and a letter H on the front.",hotel building displayed front platforms windows
928,🏩,Love Hotel,A love hotel is a hotel that can be hired by the hour instead of as accommodation for the evening.,love hotel evening hired hour accommodation
929,🏪,Convenience Store,"A shop that is generally open for longer hours than a regular supermarket, sometimes 24 hours per day.",regular supermarket generally open for longer hours per day
930,🏫,School,"A school building with multiple storeys, and a clock on the front. A place that children, or teenagers attend for their education.",multiple storeys school building with front place that children
931,🏬,Department Store,"A large department store, selling a range of products to the general public. Shown as a large building with a billboard on most platforms, or as a shopping bag on Windows.",large department store selling a range general public of products bag on Windows
932,🏭,Factory,"An industrial factory, with flue-gas stacks releasing exhaust into the air.",flue-gas stacks releasing exhaust industrial factory
933,🏯,Japanese Castle,"A traditional Japanese Castle, usually made from stone and wood.",traditional Japanese Castle stone and wood made from
934,🏰,Castle,"A castle, in a style that can be found in France and other parts of Europe.",parts of Europe found in France castle style
935,💒,Wedding,"An emoji to depict a wedding, displayed by most vendors as a Christian church and love hearts. Some platforms display a cross or bell on the building.",Christian church depict a wedding love hearts emoji to and
936,🗼,Tokyo Tower,"The Tokyo Tower is the second-tallest building in Japan, located in Minato, Tokyo.",located in Minato building Japan Tokyo Tower second-tallest
937,🗽,Statue of Liberty,"The Statue of Liberty, often used as a depiction of New York City.",Statue of Liberty York City depiction
938,⛪,Church,"A church building, generally associated with Christian denominations. In addition quiet prayer, churches hold regular worship services, weddings, baptisms and funerals.",Christian denominations church building weddings generally
939,🕌,Mosque,"A mosque building, a place of worship for followers of Islam. Shown with a domed roof and a minaret.",followers of Islam mosque building place worship for domed roof
940,🛕,Hindu Temple,"A Hindu temple or mandir; a place of worship for followers of Hinduism. Depicted on most platforms as a red, orange, or golden building with a tall spire.",followers of Hinduism Hindu temple or mandir place worship for
941,🕍,Synagogue,A synague; a place of worship for followers of Judaism. Displayed with a Star of David on the front.,followers of Judaism place worship for Star David synague
942,⛩️, Shinto Shrine,"A shrine used for the Japanese Shinto religion. This emoji generally displays the torii, which is the gate to the Shinto Shrine. The torii is generally a red colored structure, with a curved roof section above two posts.",Japanese Shinto religion Shrine shrine
943,🕋,Kaaba,A cube-shaped building located at the centre of the Al-Masjid al-Haram Mosque in Mecca.,Al-Masjid al-Haram Mosque cube-shaped building located in Mecca
944,⛲,Fountain,"A water fountain, found in a park or other public space. Used for decorative purposes. A variety of styles of fountain are shown across different platforms.",public space water fountain found decorative purposes park
945,⛺,Tent,"A tent, used for protection from wind and rain when camping. Often shown at night time, under stars.",rain when camping protection from wind and tent
946,🌁,Foggy,"Foggy weather displayed as fog covering a bridge or cityscape, depending on the platform. For platforms that show a bridge, the red Golden Gate Bridge is generally displayed.",Foggy weather displayed Golden Gate Bridge red fog covering
947,🌃,Night with Stars,"A night sky with stars, depicted on major platforms as a cityscape at night.",sky with stars depicted on major platforms night cityscape at
948,🏙️, Cityscape,Cityscape was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,part of Unicode added to Emoji Cityscape was approved as
949,🌄,Sunrise Over Mountains,"The sun rising over a mountain range, early in the morning.",mountain range sun rising early morning
950,🌅,Sunrise,"A sun rising, early in the morning. Can be difficult to distinguish from a sunset in some versions of this artwork.",sun rising early morning difficult to distinguish artwork
951,🌆,Cityscape at Dusk,"A view of city buildings as the last light disappears from the sky. An orange (or blue) glow lingers, before the stars of the night sky become visible.",view of city buildings light disappears glow lingers night sky
952,🌇,Sunset,"A beautiful view, featuring an orange sky, with the sun setting over the buildings of a city skyline.",beautiful view featuring an orange sky city skyline sun setting
953,🌉,Bridge at Night,"A lit-up bridge, shown at night.",shown at night lit-up bridge
954,🎠,Carousel Horse,"A wooden painted horse, found on the carousel at a carnival. Faces to the left-of screen.",wooden painted horse found carnival left-of screen
955,🎡,Ferris Wheel,"A large rotating wheel, often found at a carnival or fair.",large rotating wheel carnival or fair
956,🎢,Roller Coaster,A roller coaster in a theme park going down a dip in the ride. Three carriages can be seen with two people in each red carriage.,roller coaster theme park ride
957,🚂,Locomotive,"A steam train, powered by coal or wood. An early type of locomotive, now mostly replaced by electric or diesel trains.",powered by coal or wood steam train diesel trains
958,🚃,Railway Car,A railway (railroad) car (carriage) that is generally pulled along a railway line by a locomotive. Shown with a pantograph above the carriage on many platforms which makes it look more like a tram car.,railway line generally pulled tram car railroad locomotive
959,🚄,High-Speed Train,"A high speed train, designed to cover long distances at high speed.",high speed train cover long distances designed to
960,🚅,Bullet Train,"A high speed train, designed to cover long distances at high speed. Also features a streamlined bullet nose, often used in reference to the Shinkansen in Japan.",high speed train cover long distances designed to
961,🚆,Train,"A train, of no specified type. Due to the presence of a steam train and fast train emoji, this is likely to be a regular electrified or diesel passenger train.",fast train emoji diesel passenger type steam
962,🚇,Metro,A metro: frequent underground train found in built-up areas with high populations.,frequent underground train found high populations in built-up
963,🚈,Light Rail,"A form of public transport similar to a tram, but running on a track or network separated from cars and other types of traffic.",public transport similar types of traffic form track or network separated
964,🚉,Station,"A station, presumed to be a train station. Displays a train alongside a platform, where passengers can board.",train station Displays a alongside presumed platform
965,🚊,Tram,"A form of public transport on rails, usually found on streets in cities or other urban areas. For short or medium-length journeys.",transport on rails urban areas form of public found streets in cities
966,🚝,Monorail,"Similar to a train, but running on a single track. Monorails are often found at theme parks, or other tourist destinations.",single track Similar train theme parks tourist destinations running
967,🚞,Mountain Railway,"A train and railway in the mountains. Displayed as a funicular in Microsoft’s artwork, or a regular train on other platforms.",Microsoft ’s artwork funicular in mountains train and railway regular
968,🚋,Tram Car,"A form of public transport on rails, usually found on streets in cities or other urban areas. For short or medium-length journeys.",transport on rails urban areas form of public found streets in cities
969,🚌,Bus,A bus used for public transport in cities and towns. Could also be used as a school bus.,cities and towns public transport in bus
970,🚍,Oncoming Bus,"The front of a bus, showing the windscreen, as well as wing mirrors in some versions of this emoji.",showing the windscreen wing mirrors bus emoji front
971,🚎,Trolleybus,A type of bus that uses overhead electrical wires for power. Appears similar to a cross between a bus and a tram car.,overhead electrical wires for power type of bus tram car
972,🚐,Minibus,A small bus or minivan designed to carry fewer people than a full-sized bus. Displayed in white on most platforms (green on Facebook).,carry fewer people minivan designed to small bus full-sized
973,🚑,Ambulance,"An ambulance, used to transport patients between their home and the hospital.",transport patients ambulance hospital home
974,🚒,Fire Engine,"A red fire truck, an essential part of emergency services along with a police car or ambulance.",red fire truck car or ambulance essential part of emergency services
975,🚓,Police Car,"A police car, shown with an emergency light on the top.",police car emergency light shown top
976,🚔,Oncoming Police Car,"A police car, shown with an emergency light on the top.",police car emergency light shown top
977,🚕,Taxi,"A yellow taxicab, iconically seen in New York City. Shown from the side, as opposed to the oncoming taxi emoji.",York City yellow taxicab oncoming taxi emoji iconically
978,🚖,Oncoming Taxi,"A yellow taxicab, iconically seen in New York City. Shown from the front, as opposed to the taxi emoji which displays the side of the vehicle.",York City yellow taxicab iconically taxi emoji
979,🚗,Automobile,"A car shown from the side, facing right-to-left. Appears as a red car on most platforms (which goes faster), except on Android where this displays as a silver car (previously blue).",facing car shown side previously blue red
980,🚘,Oncoming Automobile,A car being shown from the front. The windscreen and hood (bonnet in British English) of the car can be seen facing forward.,British English bonnet in front car being shown windscreen and hood facing forward
981,🚙,Sport Utility Vehicle,"A blue or green Sport Utility Vehicle or station wagon, often with a spare tire on the back. Commonly used as a generic blue or green car.",Sport Utility Vehicle green or station wagon
982,🛻,Pickup Truck,A red or turquoise pickup truck. Used to talk about trucks or modes of transportation in general.,turquoise pickup truck red or
983,🚚,Delivery Truck,Delivery Truck was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,Delivery Truck part of Unicode added to Emoji was approved as
984,🚛,Articulated Lorry,Articulated Lorry was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,Articulated Lorry part of Unicode added to Emoji was approved as
985,🚜,Tractor,"A tractor, may be used by a farmer or other occupation on the land.",tractor land farmer occupation
986,🏎️, Racing Car,A racing car which appears as a formula one vehicle or rally car on most platforms. Generally displayed in red.,formula one vehicle or rally racing car platforms
987,🏍️, Motorcycle,"A motorcycle, otherwise known as a motorbike used for sport/racing purposes. For a transport-based motorcycle, use a motor scooter.",racing purposes transport-based motorcycle sport motor scooter
988,🛵,Motor Scooter,"A motor scooter, which may be displayed as any type of motorbike with or without a step-through frame. Distinct from the racing motorcycle, which is used for sport, not transport.",motor scooter step-through frame type of motorbike racing motorcycle
989,🛺,Auto Rickshaw,"An auto rickshaw, often referred to as a tuk tuk. This motorized version of a cycle rickshaw is used for transport in many regions of the world. Generally this emoji has three wheels and open sides without doors.",tuk auto rickshaw referred cycle
990,🚲,Bicycle,"A bicycle, sometimes called a push bike, used for transport or sport.",push bike transport or sport called a bicycle
991,🛴,Kick Scooter,"A non-motorized scooter, with two wheels and handles.",non-motorized scooter wheels and handles
992,🚏,Bus Stop,A sign indicating the location of a bus stop by the side of a road.,sign indicating the location bus stop road
993,🛣️, Motorway,A wide road shown from a first person perspective. Apple's artwork displays a road sign to Curpertino.,wide road shown person perspective sign to Curpertino Apple artwork displays
994,🛤️, Railway Track,Railway Track was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,Railway Track part of Unicode added to Emoji was approved as
995,⛽,Fuel Pump,"A fuel pump, used to fill up a vehicle with gas / petrol.",fuel pump vehicle with gas petrol fill
996,🚨,Police Car Light,A revolving red light seen on top of a police car. Often used in emergency circumstances in addition to a siren making a loud warning sound.,revolving red light police car loud warning sound
997,🚥,Horizontal Traffic Light,"A set of red, orange (amber) and green traffic lights, used at intersections. Less common than the vertical traffic light.",green traffic lights set of red vertical light orange amber
998,🚦,Vertical Traffic Light,"A set of red, orange (amber) and green traffic lights, used at intersections. More common than the horizontal traffic light.",green traffic lights set of red horizontal light orange amber
999,🚧,Construction,"A sign used to indicate roadwork or construction. Generally shown as yellow and black diagonal stripes, and often used to physically block access to a road or area. May be used to imply a website or project in progress or under construction.",black diagonal stripes roadwork or construction physically block access Generally shown road area
1000,⚓,Anchor,"A metal device, dropped out of a boat to prevent it drifting away from the current location.",metal device current location boat to prevent it drifting dropped
1001,⛵,Sailboat,"A sailboat, otherwise known as a sailing boat or yacht.  Uses wind as the source of propulsion to move around a body of water.",boat or yacht sailing sailboat body of water
1002,🚤,Speedboat,"A motorized speedboat used for recreation on lakes, or other bodies of water.",recreation on lakes bodies of water motorized speedboat
1003,🛳️, Passenger Ship,Passenger Ship was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,Passenger Ship part of Unicode added to Emoji was approved as
1004,⛴️, Ferry,Ferry was approved as part of Unicode 5.2 in 2009 and added to Emoji 1.0 in 2015.,part of Unicode added to Emoji Ferry was approved as
1005,🛥️, Motor Boat,Motor Boat was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,Motor Boat part of Unicode added to Emoji was approved as
1006,🚢,Ship,"A large ship, used for transport of people or cargo across the ocean. May be a cruise ship, commonly found around tropical locations.",transport of people or cargo large ship ocean cruise
1007,✈️, Airplane,"Used either as a literal airplane, to represent an overseas vacation, or sometimes as a proxy for airplane mode on a phone or tablet.",overseas vacation phone or tablet represent an literal airplane mode proxy for
1008,🛩️, Small Airplane,A light aircraft which is shown with propellers on some platforms.,light aircraft shown with propellers platforms
1009,🛫,Airplane Departure,"A plane taking off from a runway. Generally displayed left-right, with the front of the plane elevated.",plane taking Generally displayed left-right runway elevated
1010,🛬,Airplane Arrival,"A plane approaching a runway for landing. Generally displayed left-right, with the front of the plane facing toward the ground in a position that may result in a crash if attempted in the real world.",runway for landing approaching a plane Generally displayed left-right facing
1011,🪂,Parachute,An open parachute floating through the air with a human steering. Most platforms feature a ram-air design. Colors vary across platforms.,open parachute floating human steering
1012,💺,Seat,"A seat, which could refer to any form of place to sit, with the distinction that a seat is generally fixed, and is not a chair which can be moved.",place to sit generally fixed form of seat is
1013,🚁,Helicopter,"A helicopter, which can hover in the air. Often seen in emergency circumstances such as transporting patients to a hospital, or for police or fire-fighting activity.",helicopter air fire-fighting activity hover emergency circumstances transporting patients police or
1014,🚟,Suspension Railway,"Similar to a monorail, a suspension railway is elevated, but the vehicle is suspended under the track.",railway is elevated suspension vehicle suspended Similar monorail track
1015,🚠,Mountain Cableway,Mountain Cableway was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,Mountain Cableway part of Unicode added to Emoji was approved as
1016,🚡,Aerial Tramway,"An Aerial Tramway, most commonly seen at ski resorts, for transport between locations on a mountain. Can also be used as a tourist attraction, or as a form of public transport.",Aerial Tramway ski resorts mountain transport between locations
1017,🛰️, Satellite,"A satellite which orbits the earth, and is generally used for communications, weather, and GPS.",orbits the earth satellite which weather GPS communications
1018,🚀,Rocket,"A rocket being propelled into space. Sometimes used to indicate a fast increase, for instance when referring to stocks going to the moon 🚀 (rising quickly in price).",propelled into space rocket being fast increase rising quickly in price
1019,🛸,Flying Saucer,"A flying saucer, sometimes referred to as an Unidentified Flying Object (UFO). Shown on some platforms with an alien at the controls and/or a beam of light emitting from the base.",Unidentified Flying Object flying saucer UFO
1020,🪐,Ringed Planet,"A ringed planet that appears with various number of rings, tilt angles, and colors across platforms. This vaguely Saturn-like orb was proposed as a stand-alone planet emoji to represent all planets.",tilt angles number of rings colors across platforms vaguely Saturn-like orb ringed planet
1021,🌠,Shooting Star,"A stylized representation of a shooting star, a small, fast meteor that burns up in the atmosphere. Generally depicted as a gold, five-point star trailing yellow motion lines against a night sky, as if moving down to the left.",fast meteor stylized representation that burns five-point star trailing shooting yellow motion
1022,🌌,Milky Way,The Milky Way – a galaxy of billions of stars that includes our own solar system and planet earth.,planet earth galaxy of billions stars that includes solar system and Milky
1023,⛱️, Umbrella on Ground,"A large, open umbrella, as provides shade at a beach or patio. Generally depicted as a striped umbrella inserted into a patch of sand and tilted to the right.",beach or patio open umbrella striped inserted large
1024,🎆,Fireworks,"Firework emoji, showing a explosion of colored light in the night sky, used for any number of celebrations such as New Year's Eve.",Year Eve Firework emoji showing a explosion night sky of colored light number celebrations
1025,🎇,Sparkler,"A  sparkler: a form of hand-held firework often used at parties and celebrations. The sparkler is lit at one end, and held at the other. ",parties and celebrations form of hand-held firework sparkler
1026,🎑,Moon Viewing Ceremony,Moon Viewing Ceremonies (called Tsukimi in Japan) are held each year in autumn to celebrate the full moon and waxing moon in Japan.,Moon Viewing Ceremonies Tsukimi in Japan called held each year autumn
1027,💴,Yen Banknote,"A banded stack of yen banknotes, the paper currency of Japan. Color and detail vary across platforms, but usually shown in green, yellow, or pink with the yen symbol, ¥. Commonly used for various content concerning money and wealth, not restricted to Japan.",banded stack paper currency yen banknotes Japan of yellow
1028,💵,Dollar Banknote,"Cash money! A banded stack of U.S. dollar banknotes, the paper currency of the United States of America. Green hue and detail vary across platforms, but shown with the dollar sign, $. Commonly used for various content concerning wealth and money, not restricted to the U.S.",Cash money States of America United dollar banknotes
1029,💶,Euro Banknote,"A banded stack of euro banknotes, the paper currency of the European Union (EU). Color and detail vary across platforms, but shown with the euro sign, €. Commonly used for various content concerning wealth and money, not restricted to the EU.",European Union banded stack paper currency euro banknotes sign
1030,💷,Pound Banknote,"Quids in! A banded stack of pound banknotes, the paper currency of the United Kingdom (England, Wales, Northern Ireland, and Scotland). Color and detail vary across platforms, but widely depicted as purple £20 notes with the pound sign, £.",Northern Ireland United Kingdom Quids England Wales
1031,🗿,Moai,"A moai, one of the famed, giant stone statues of human figures on Easter Island. Depicted as a gray stone carving of a stylized human head with a prominent brow and nose, most often facing left.",Easter Island giant stone statues figures on human gray carving
1032,🛂,Passport Control,A person checking passports at an international border.,person checking passports international border
1033,🛃,Customs,A customs officer inspecting luggage. May be shown on signage at airports or other border crossings.,officer inspecting luggage customs
1034,🛄,Baggage Claim,Baggage Claim was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,Baggage Claim part of Unicode added to Emoji was approved as
1035,🛅,Left Luggage,An icon representing a place to leave luggage. Most commonly found at Japanese train stations to signify coin lockers where bags can be stored for a daily fee.,leave luggage icon representing a place to Japanese train stations found at
1036,💌,Love Letter,"The back of an envelope, generally shown in white and sealed with a red heart. Represents a love letter or note, valentine, or affectionate greeting card. Commonly used to convey various feelings or messages of love and happiness.",generally shown red heart in white and sealed affectionate greeting card envelope
1037,🕳️, Hole,"A round, black, cartoon-styled hole, as a manhole or a hole (cup) in golf. May be used to represent various types of literal or figurative holes, e.g., black holes, rabbit holes.",cartoon-styled hole black holes rabbit cup figurative
1038,💣,Bomb,"A cartoon-styled bomb, depicted as a black ball with a burning fuse.",cartoon-styled bomb burning fuse black ball depicted
1039,🛀,Person Taking Bath,"A gender-unspecified person taking a soothing bath in a white tub with a shower head. Commonly used for various content concerning bathing, washing, cleaning, and bathrooms more generally. May also represent relaxation and self-care.",gender-unspecified person taking shower head a soothing bath white tub
1040,🛌,Person in Bed,"A bed with a gender-unspecified person sleeping in it, as at a house, hotel, hostel, or other sleeping accommodation. Used especially for various content concerning sleeping as well as beds, furniture, housing, relaxing, and other bedroom activities.",gender-unspecified person sleeping accommodation hotel hostel house
1041,🔪,Kitchen Knife,"A knife with a long steel blade, as a chef uses to slice meat or vegetables. Depicted with a black or brown handle and positioned at a 45° angle, often with its point at the lower right.",long steel blade meat or vegetables slice
1042,🏺,Amphora,"A tall, ceramic jar with two handles and a narrow neck and foot. Represents an amphora, as used by ancient Greeks and Romans to hold water and wine.",ceramic jar neck and foot narrow Greeks Romans Represents an amphora ancient to hold
1043,🗺️, World Map,"A rectangular map of the world. Generally depicted as a paper map creased at its folds, Earth’s surface shown in green on blue ocean.",rectangular map Earth ’s surface world paper creased
1044,🧭,Compass,"A magnetic compass, as used for navigation. Generally depicted in a silver or gold case with a compass rose and a red-tipped needle. Commonly used for various content concerning traveling and exploring as well as metaphorical compasses (e.g., moral compass).",magnetic compass navigation Generally depicted red-tipped needle rose
1045,🧱,Brick,"A red brick or bricks. Depicted in a loose stack, a single object with holes, or as built into wall, as of a house, school, or other structure.",red brick or bricks loose stack object with holes built into wall
1046,💈,Barber Pole,"A pole spiraled with red, white, and blue stripes, as spins out front of a barbershop. Commonly used for various content concerning haircutting and hairstyling.",spiraled with red blue stripes pole spins out front white
1047,🦽,Manual Wheelchair,"A manual wheelchair. Most platforms show a red and black or blue and black wheelchair. Distinct from ♿ Wheelchair Symbol, which is used as signage to indicate accessible facilities. See also 👩‍🦽Woman in Manual Wheelchair or 👨‍🦽Man in Manual Wheelchair.",manual wheelchair Wheelchair Symbol Woman in Manual Man black
1048,🦼,Motorized Wheelchair,A motorized wheelchair. Most platforms show a red and black or blue and black wheelchair. Distinct from ♿ Wheelchair Symbol which is used as signage to indicate accessible facilities. See also 👩‍🦼Woman in Motorized Wheelchair or 👨‍🦼Man in Motorized Wheelchair.,motorized wheelchair Wheelchair Symbol Woman in Motorized Man black
1049,🛢️, Oil Drum,"A barrel for transporting bulk liquids, such as oil. Generally depicted as a red or blue metal drum with holes or a stopper on its lid. Commonly used for various content concerning petroleum or hazardous waste.",transporting bulk liquids barrel for blue metal drum oil
1050,🛎️, Bellhop Bell,"Ding! A call bell, as pressed at a front desk or reception to alert staff for service, such as from a concierge or bellhop (porter) to carry luggage at a hotel. Generally depicted as a golden bell on a wooden stand.",Ding staff for service concierge or bellhop call bell front desk reception to alert
1051,🧳,Luggage,"A suitcase or bag, as used for traveling. Most platforms depict gray or blue rolling luggage with an extended handle. Commonly used for various content concerning traveling or taking trips, whether for business or leisure.",suitcase or bag platforms depict gray blue rolling luggage extended handle traveling
1052,⌛,Hourglass Done,"A classic hourglass, all of its sand having flowed into the bottom bulb. Indicates time has passed. Color varies across platforms.",classic hourglass bottom bulb sand having flowed
1053,⏳,Hourglass Not Done,"A classic hourglass, its sand still flowing from the top to bottom bulb. Indicates time is still passing—but life is short. Color varies across platforms.",classic hourglass bottom bulb sand still flowing top to life is short
1054,⌚,Watch,"A wristwatch, as used for telling time. Appearance varies across platforms, but widely depicted as an analog timepiece with a white face and brown or black straps.",telling time wristwatch Appearance varies across platforms black straps
1055,⏰,Alarm Clock,"A timepiece set in advance to startle a person awake at the designated time with its two bells. That is, before hitting snooze. Appearance varies across platforms, but depicted as a classic, wind-up, bedside alarm clock, often red in color.",timepiece set in advance to startle a person awake designated time bells
1056,⏱️, Stopwatch,"An analog, handheld timepiece used to measure elapsed time, as for athletic sprints. Appearance varies across platforms, but depicted with two or more control buttons on its top.",measure elapsed time handheld timepiece athletic sprints analog
1057,⏲️, Timer Clock,"Time’s up! A timer set to count down and sound an alarm after a designated amount of time, as used in the kitchen. Appearance varies by platform. Commonly used for various content concerning time, including countdowns and deadlines.",Time timer set to count sound an alarm designated amount kitchen Appearance varies
