id,emoji,name,description,keywords
404,👩‍👧‍👦,"👧‍👦 Family: Woman, Girl, Boy","The Family: Woman, Girl, Boy emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner, 👧 Girl, Zero Width Joiner and 👦 Boy. These display as a single emoji on supported platforms.",Width Joiner ZWJ sequence combining Woman Girl Boy
405,👩‍👧‍👧,"👧‍👧 Family: Woman, Girl, Girl","The Family: Woman, Girl, Girl emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner, 👧 Girl, Zero Width Joiner and 👧 Girl. These display as a single emoji on supported platforms.",ZWJ sequence combining Width Joiner Girl Woman emoji
406,🗣️, Speaking Head,"The silhouette of a person speaking. Faces left-to-right, with lines demonstrating speech being expelled. Sometimes used in the context of shouting or mansplaining.",person speaking Faces speech being expelled silhouette lines demonstrating
407,👤,Bust in Silhouette,Generic profile of one person. Often used in interface design to represent a user.,Generic profile person represent a user interface
408,👥,Busts in Silhouette,Generic profile of two people. Often used in interface design to represent users.,Generic profile people represent users interface
409,🫂,People Hugging,"Two people hugging, shown as faceless blue forms on most platforms. Details of each person are not distinct and thus no options are available to customize the gender or skin tone of either individual.",faceless blue forms people hugging shown as
410,👣,Footprints,"Two human footsteps,  showing the outline of both feet, including all five toes.",human footsteps showing the outline feet including toes
411,🧳,Luggage,"A suitcase or bag, as used for traveling. Most platforms depict gray or blue rolling luggage with an extended handle. Commonly used for various content concerning traveling or taking trips, whether for business or leisure.",suitcase or bag platforms depict gray blue rolling luggage extended handle traveling
412,🌂,Closed Umbrella,"An umbrella that is closed, likely as a result of collapsing it prior to going indoors.",result of collapsing it prior closed indoors umbrella
413,☂️, Umbrella,"An opened, dry umbrella. Generally depicted with purple fabric and a hooked handle.",dry umbrella opened Generally depicted hooked handle
414,🎃,Jack-O-Lantern,An orange pumpkin carved into the shape of a face and commonly known as a Jack-o’-lantern. See also Halloween.,orange pumpkin carved face and commonly Halloween
415,🧵,Thread,"A spool of thread, as used for sewing. Thread color varies across platforms, though often depicted in red or blue and on a wooden spool. Sometimes shown with an end unraveling.",sewing spool thread varies across platforms Thread color wooden
416,🧶,Yarn,"A ball of yarn, as used to knit a scarf. Color varies across platforms, but often depicted in green, blue, or magenta and shown with an end unraveling. Sometimes depicted with a pair of knitting needles stuck in the ball.",knit a scarf ball of yarn Color varies across platforms
